"productname"	"formulation"	"route"	"drugsubstance"	"strength"	"productcode"	"BNFcode"	"AD"
"Sertraline 50mg tablets (Flamingo Pharma (UK) Ltd)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"50mg"	"85420"	"04030300"	"sertraline"
"Citalopram 10mg tablets (Medihealth (Northern) Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"10mg"	"85516"	"04030300"	"citalopram"
"Escitalopram 5mg tablets (A A H Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Escitalopram oxalate"	"5mg"	"85525"	"04030300"	"escitalopram"
"Paroxetine 40mg tablets (Crescent Pharma Ltd)"	"Tablet"	"Oral"	"Paroxetine hydrochloride"	"40mg"	"85550"	"04030300"	"paroxetine"
"Venlafaxine 37.5mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Venlafaxine hydrochloride"	"7.5mg/1ml"	"85602"	"04030400"	"venlafaxine"
"Venlafaxine 75mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Venlafaxine hydrochloride"	"15mg/1ml"	"85606"	"04030400"	"venlafaxine"
"Cymbalta 30mg gastro-resistant capsules (Necessity Supplies Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"30mg"	"85745"	"04030400/06010500"	"duloxetine"
"Sertraline 50mg tablets (Genesis Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"50mg"	"85763"	"04030300"	"sertraline"
"Duloxetine 30mg gastro-resistant capsules (Milpharm Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"30mg"	"85830"	"04030400/06010500"	"duloxetine"
"Nortriptyline 10mg tablets (Advanz Pharma)"	"Tablet"	"Oral"	"Nortriptyline hydrochloride"	"10mg"	"85885"	"04030100/07040251"	"nortriptyline"
"Trazodone 50mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd)"	""	""	""	""	"85939"	"04030100"	"trazodone"
"Venlafaxine 150mg modified-release tablets (Dexcel-Pharma Ltd)"	""	""	""	""	"85975"	"04030400"	"venlafaxine"
"Sertraline 25mg tablets (A A H Pharmaceuticals Ltd)"	""	""	""	""	"86037"	"04030300"	"sertraline"
"Mirtazapine 15mg tablets (Phoenix Healthcare Distribution Ltd)"	"Tablet"	"Oral"	"Mirtazapine"	"15mg"	"86095"	"04030400"	"mirtazapine"
"Sertraline 50mg tablets (Almus Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"50mg"	"86199"	"00000000"	"sertraline"
"Efexor 75mg tablets (Lexon (UK) Ltd)"	"Tablet"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"86256"	"04030400"	"venlafaxine"
"Mirtazapine 15mg tablets (NorthStar Healthcare Unlimited Company)"	"Tablet"	"Oral"	"Mirtazapine"	"15mg"	"86314"	"04030400"	"mirtazapine"
"Venlafaxine 75mg tablets (Almus Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"86410"	"04030400"	"venlafaxine"
"Venlafaxine 75mg modified-release capsules (Morningside Healthcare Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"86424"	"04030400"	"venlafaxine"
"Sertraline 100mg tablets (Dr Reddy's Laboratories (UK) Ltd)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"100mg"	"86466"	"04030300"	"sertraline"
"Lustral 50mg tablets (Lexon (UK) Ltd)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"50mg"	"86493"	"04030300"	"sertraline"
"Venlafaxine 75mg tablets (Bristol Laboratories Ltd)"	"Tablet"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"86526"	"04030400"	"venlafaxine"
"Sertraline 50mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"50mg"	"86570"	"04030300"	"sertraline"
"Amitriptyline 10mg tablets (Flamingo Pharma (UK) Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"10mg"	"86618"	"04030100/04070300/04070402"	"amitriptyline"
"Fluoxetine 20mg capsules (Brown & Burk UK Ltd)"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"20mg"	"86640"	"04030300"	"fluoxetine"
"Phenelzine 15mg capsules (Imported)"	"Capsule"	"Oral"	"Phenelzine sulfate"	"15mg"	"86697"	"04030200"	"phenelzine"
"Lofepramine 70mg tablets (Zentiva Pharma UK Ltd)"	"Tablet"	"Oral"	"Lofepramine hydrochloride"	"70mg"	"86700"	"04030100"	"lofepramine"
"Paroxetine 20mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Paroxetine hydrochloride"	"4mg/1ml"	"86790"	"04030300"	"paroxetine"
"Paroxetine 20mg tablets (Medihealth (Northern) Ltd)"	"Tablet"	"Oral"	"Paroxetine hydrochloride"	"20mg"	"86799"	"04030300"	"paroxetine"
"Sertraline 50mg tablets (Niche Generics Ltd)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"50mg"	"86890"	"04030300"	"sertraline"
"Amitriptyline 25mg tablets (Bristol Laboratories Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"25mg"	"86894"	"04030100/04070300/04070402"	"amitriptyline"
"Venlafaxine 37.5mg tablets (Zentiva Pharma UK Ltd)"	"Tablet"	"Oral"	"Venlafaxine hydrochloride"	"37.5mg"	"87012"	"04030400"	"venlafaxine"
"Duloxetine 60mg gastro-resistant capsules (HBS Healthcare Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"60mg"	"87061"	"04030400/06010500"	"duloxetine"
"Seroxat 20mg/10ml liquid (Lexon (UK) Ltd)"	"Oral suspension"	"Oral"	"Paroxetine hydrochloride"	"2mg/1ml"	"87073"	"04030300"	"paroxetine"
"Sertraline 25mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"25mg"	"87115"	"04030300"	"sertraline"
"Dosulepin 150mg/5ml oral solution"	"Oral solution"	"Oral"	"Dosulepin hydrochloride"	"30mg/1ml"	"87361"	"04030100"	"dosulepin"
"Fluoxetine 10mg capsules (Morningside Healthcare Ltd)"	"Capsule"	"Oral"	"Fluoxetine hydrochloride"	"10mg"	"87501"	"04030300"	"fluoxetine"
"Venlafaxine 75mg tablets (Phoenix Healthcare Distribution Ltd)"	"Tablet"	"Oral"	"Venlafaxine hydrochloride"	"75mg"	"87503"	"04030400"	"venlafaxine"
"Sertraline 50mg tablets (Waymade Healthcare Plc)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"50mg"	"87521"	"04030300"	"sertraline"
"Mirtazapine 15mg orodispersible tablets (Almus Pharmaceuticals Ltd)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"15mg"	"87568"	"04030400"	"mirtazapine"
"Citalopram 40mg tablets (Noumed Life Sciences Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"40mg"	"87645"	"04030300"	"citalopram"
"Duloxetine 60mg gastro-resistant capsules (Amarox Ltd)"	"Gastro-resistant capsule"	"Oral"	"Duloxetine hydrochloride"	"60mg"	"87663"	"04030400/06010500"	"duloxetine"
"Citalopram 10mg tablets (Noumed Life Sciences Ltd)"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"10mg"	"87749"	"04030300"	"citalopram"
"Sertraline 200mg tablets"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"200mg"	"87872"	"04030300"	"sertraline"
"Sertraline 150mg tablets"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"150mg"	"87875"	"04030300"	"sertraline"
"Paroxetine 20mg tablets (Crescent Pharma Ltd)"	"Tablet"	"Oral"	"Paroxetine hydrochloride"	"20mg"	"87904"	"04030300"	"paroxetine"
"Sertraline 50mg tablets (Zentiva Pharma UK Ltd)"	"Tablet"	"Oral"	"Sertraline hydrochloride"	"50mg"	"87944"	"04030300"	"sertraline"
"Trazodone 50mg capsule (Medreich Plc)"	""	""	""	""	"88064"	"04030100"	"trazodone"
"Trazodone 100mg capsule (Medreich Plc)"	""	""	""	""	"88065"	"04030100"	"trazodone"
"Duloxetine 30mg gastro-resistant capsules (Bristol Laboratories Ltd)"	""	""	""	""	"88197"	"04030400/06010500"	"duloxetine"
